rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
17,false,false,ELG_DWSunder,100,Slayer,0793c591c80331812d2fdff79aa7ae60681229588b66def8bb0ccb30cb87716c,4250334444,elgorzzz,26,elgorattwitch,SSF Harbinger HC
17,false,false,betachieff,100,Gladiator,85b0b29801be8aa38c0355045306a4423ddfe18628731012f203f8a70936bca7,4250334444,Betachief,36,betachief,Hardcore Harbinger
17,false,false,VeganVaperGymGoer,100,Gladiator,c82fc9266f61ba9f8ce5e0ca98f9b849a590f0245cebe4b2aa8df1831229e60c,4250334444,lassercj,40,null,Harbinger
17,false,false,jjjugggerrr,100,Juggernaut,d86d456bc33218a200a8ff475545fd9eef657ed4658e3755f53a7e144695541e,4250334444,balroggg,28,null,SSF Harbinger
18,false,false,celdoNotGettingYounger,100,Deadeye,2849cffc0a84d46c018a6989f2337512494ed60ace6c8e2d97dd4a515f4cffb9,4250334444,celdo,28,mrceldo,Hardcore Harbinger
18,false,false,SaveMeTragedy,100,Gladiator,8757a6642c21a3fc908af6e6fd46c8abf9e7410efbc99d1e2d7f8e018db93825,4250334444,Realyn,38,nyylaer,SSF Harbinger HC
18,false,false,BrewtheRF,100,Guardian,8cad1efadc54797e92e5abe69400257161043e5c611a2cf20a99949376d2958d,4250334444,IMBrewmaster,40,null,Harbinger
18,false,false,SteelWhiteTigress,99,Slayer,908778702851a333587c711ad273c388e7d5817c54a42f4b6bafbf8fdca21b62,4058668403,Wolfette,35,null,SSF Harbinger
19,false,false,PISSSSSSSSSSSSSSSSSS,100,Champion,706ae2890c4e538c283a38540d6c3f6dc24c8fc18d4bfcc6315da407360b7652,4250334444,Exif,36,vinktard,SSF Harbinger HC
19,false,false,LUL_Bitchboi_LUL,100,Champion,9d2c973bb73ba7926971f5bd2b75f2bd768c729ad2bd2f67ad0a87c34d12f2ea,4250334444,_D_S_,40,1d1s1,Hardcore Harbinger
19,false,false,Dobrodzieju,99,Slayer,f61f5efdffd9f34d790747854d6406a5d6841c924328b5f24f66dc0405930187,4055327785,Foeh,26,null,SSF Harbinger
19,false,false,FiveThousandES,100,Inquisitor,f82f3ce15f4656d52992845a5499c77472bdd2dfa0358bbffc0261fcb3e14bf7,4250334444,BlimZage,32,null,Harbinger
20,false,false,Fruxxit,100,Pathfinder,139f1f8fc43beee42b24358076a53c830754a0f88dacf7a49c89625850a76293,4250334444,Frouxx,40,null,Harbinger
20,true,false,Trakand_Purity,99,Necromancer,7d1d0a24acd2f54ee2a4160484cba937ea906a580a3c7bd8d831c3f85ec45bc0,4124842623,Trakand,36,trakand,SSF Harbinger HC
20,false,false,CooIgav,100,Gladiator,a0c4c2d44d560bc3730804970ef8b219df952861d61fe98364d0ca70fe5b6feb,4250334444,Coolgav,34,coolgav,Hardcore Harbinger
20,false,false,Vicomtes,99,Necromancer,aeea7345a66b432bb05b4621d29048196bdcd3a77b35d46d82f389ebf520e4bb,4009950532,Fifta,27,null,SSF Harbinger
21,true,false,DEvil_HHC_Solo_I,99,Slayer,24165b2f880287c57a5c3ea07346733a3c7095232d35623388730a9f980d2e83,4029218392,DEvil27,35,vcovre,SSF Harbinger HC
21,false,false,zhouxie,99,Berserker,263fa4c1e8e77d6cd05888a3751cb57c1f7d63d95a3116de2ae4993900f6121a,3949658781,zhouxie115,37,null,SSF Harbinger
21,false,false,Peurips,100,Pathfinder,aa30f23c688f75397820f653a5b6c579922044589801055505b9840b03bb06c1,4250334444,Qstep,25,qstep,Hardcore Harbinger
21,false,false,Zeecro,100,Elementalist,d34587c75272736de17b3815e454c1e88463f5e2fde656e646881317fd8fb0de,4250334444,zeebra,32,zeebra_tv,Harbinger
22,false,false,Chrombinger,100,Inquisitor,3b46320549c2497afed2ba11cc713fcc5cfd84d8962d46f48b8ebca71e5d8681,4250334444,Chromist,36,chromist,Harbinger
22,false,false,Syrtys,98,Chieftain,5d32e0b9613e7a574dee056dfd9cbf17433865d0bbf805c0d00af6efd6c7e34a,3888472082,Syrtis,37,null,SSF Harbinger
22,false,false,AstolfoForever,99,Trickster,640a83cd011a5dd504412a587ad769b5d8116a494dc7ceafe2c2c9b518768210,3997820317,forthelulz123,25,null,SSF Harbinger HC
22,false,false,AtSixesAndSevens,100,Necromancer,96c8ff98bac924e91673f5745036d94676e03479c46ba831ca064e41dfbd9374,4250334444,StupidFatHobbit,30,sfhobbit,Hardcore Harbinger
23,false,false,_Para,100,Inquisitor,52cefbdb0a35138dfd1719d16cf6883cbbd09806b55da3abb44ae5b82a9ed3a8,4250334444,Parahai,40,parahai,Harbinger
23,false,false,MJaySatana,98,Pathfinder,7c6bbcfef56a3c3827e60612d5b64b1678091012a47ada2617fab35db5b7a690,3791654995,SatanaMJay,39,satanamjay,SSF Harbinger
23,true,false,GP_Necro,98,Necromancer,f6f024200acfa75990cea5778bcc13ff12a52f4e19a8f5e113ec65ba85874cfd,3842924872,ihave13gp,36,ihave13gp,SSF Harbinger HC
23,false,false,CPACK_DeathlessBTW,100,Gladiator,fefe689d45e5d7130e35d6cdb90e7bb18e2390d8c2682dc256b180f7712e014d,4250334444,Cpack,30,cpack,Hardcore Harbinger
24,false,false,QounDiggingHolesMonkaS,98,Trickster,1fe6fc55963e3466b3abe19a0fa304cf4badcdf65d4ff50e997774d0c46f1ddb,3773770263,Qouning,31,null,SSF Harbinger
24,false,false,GrootSlayer,100,Slayer,257b8451f7c73fed4ebdd8542950a46797e87b3a40f5448a94c500c72a53d7be,4250334444,jasonRAWR,40,jasonrawr,Harbinger
24,true,false,KiasLifeIsGreat,98,Inquisitor,3bf918ed1e71852dcbcab87c24230b69472e771c97760783d2773b37f3c5ade6,3837129479,kiasyd1987,24,fredrick1337,SSF Harbinger HC
24,false,false,Rolllfer,100,Gladiator,fd6bc31c23a9783ec4d7ccbddced1ea9f7829a5956065a49ce6fe82755397e08,4250334444,Baalpredator,34,null,Hardcore Harbinger
25,false,false,Reymea,98,Pathfinder,1921ef67147e96581a53af55bf36e6b91a9a177f38360afb9f1332a72645e5d2,3758654236,Reymea,32,null,SSF Harbinger
25,false,false,redsameri_NerfBiscosPls,100,Necromancer,3eea999461293c873f1a3fa502f5919afc4dbc23bc11c9d25ec131bb46a6a93d,4250334444,redsameri,39,chuxterr,Harbinger
25,true,false,ShiruRSSFHB,98,Raider,a6a5d7972f418ef8bc45b0440a4bcd96b927d41501470fe602a48e181af21c4c,3813778355,shirusen,23,null,SSF Harbinger HC
